Employee_ID,Age,first_name,last_name,gender,Department,Job_Role,Education_Level,Marital_Status,Job_Tenure,Distance_From_Home,Gender_Clean,Performance_Rating,Last_Promotion_Year,Training_Hours,Work_Life_Balance,Job_Satisfaction,attrition,Exit_Interview_Score,Attrition_Flag,Years_Since_Promotion,Tenure_Bucket,Age_Group,Distance_Band,Promo_Gap_Bucket,Salary_Band,Exit_Score_Category,Performance_Category,Satisfaction_Category,WLB_Category,Attrition_Risk_Score,Risk_Segment
1,22,Konstantin,Shutler,Male,HR,Developer,PhD,Married,1,8,Male,2,2019,28,3,1,False,,0,5,0–2 yrs,18–25,Near (≤10 km),3–5 yrs,Band 1 – Low,N/A (Still Employed),Below Average,Very Low,Fair,3.316,High Risk
2,38,Thorvald,Skoggins,Male,IT,Marketing Lead,Master's,Married,18,32,Male,4,2022,174,3,2,False,3.0,0,2,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Band 4 – High,Moderate Dissatisfaction,Good,Low,Fair,2.514,Medium Risk
3,35,Gracia,Teggin,Genderqueer,Sales,Senior Developer,Bachelor's,Divorced,4,42,Non-Binary / Other,1,2022,119,5,4,False,,0,2,3–5 yrs,26–35,Far (26–50 km),0–2 yrs,Band 1 – Low,N/A (Still Employed),Needs Improvement,High,Excellent,2.034,Low Risk
4,37,Kerwinn,Romme,Male,Marketing,Senior Developer,Bachelor's,Divorced,5,43,Male,4,2015,82,4,1,False,,0,9,3–5 yrs,36–45,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Good,Very Low,Good,2.936,Medium Risk
5,26,Randene,Millier,Female,Operations,Manager,Master's,Single,10,33,Female,3,2014,46,2,4,False,,0,10,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Band 2 – Mid-Low,N/A (Still Employed),Average,High,Poor,2.766,Medium Risk
6,44,Nikolia,Buten,Female,Marketing,Developer,Master's,Single,15,15,Female,1,2011,16,1,1,False,,0,13,11–20 yrs,36–45,Medium (11–25 km),12+ yrs,Band 3 – Mid-High,N/A (Still Employed),Needs Improvement,Very Low,Very Poor,4.43,High Risk
7,38,Rupert,Truesdale,Genderfluid,Finance,Marketing Lead,PhD,Single,7,2,Non-Binary / Other,1,2010,93,5,4,False,,0,14,6–10 yrs,36–45,Near (≤10 km),12+ yrs,Band 1 – Low,N/A (Still Employed),Needs Improvement,High,Excellent,2.554,Medium Risk
8,28,Glynis,Horlick,Female,IT,Developer,PhD,Married,19,38,Female,5,2017,165,4,2,False,,0,7,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Band 4 – High,N/A (Still Employed),Outstanding,Low,Good,2.326,Low Risk
9,22,Melantha,Seilmann,Bigender,Finance,Marketing Lead,Bachelor's,Single,12,37,Non-Binary / Other,1,2024,102,2,4,False,,0,0,11–20 yrs,18–25,Far (26–50 km),0–2 yrs,Band 2 – Mid-Low,N/A (Still Employed),Needs Improvement,High,Poor,2.674,Medium Risk
10,25,Juan,McCumesky,Male,Operations,HR Specialist,PhD,Divorced,2,37,Male,4,2020,95,5,1,False,,0,4,0–2 yrs,18–25,Far (26–50 km),3–5 yrs,Band 1 – Low,N/A (Still Employed),Good,Very Low,Excellent,2.424,Medium Risk
11,46,Willow,Lagde,Female,Marketing,Manager,Master's,Married,1,31,Female,5,2012,114,5,4,False,2.0,0,12,0–2 yrs,46–55,Far (26–50 km),9–12 yrs,Band 1 – Low,High Dissatisfaction,Outstanding,High,Excellent,1.712,Low Risk
12,50,Corissa,Haseman,Genderqueer,HR,Senior Developer,PhD,Married,7,18,Non-Binary / Other,2,2017,176,2,4,False,,0,7,6–10 yrs,46–55,Medium (11–25 km),6–8 yrs,Band 1 – Low,N/A (Still Employed),Below Average,High,Poor,2.786,Medium Risk
13,48,Kelsey,Wolfindale,Male,Finance,Manager,Master's,Single,7,45,Male,1,2020,105,4,4,False,3.0,0,4,6–10 yrs,46–55,Far (26–50 km),3–5 yrs,Band 1 – Low,Moderate Dissatisfaction,Needs Improvement,High,Good,2.39,Medium Risk
